day,Country,Country Name,Region,Deaths,Cumulative Deaths,Confirmed,Cumulative Confirmed
2020-01-28,IT,Italy,EURO,0,0,0,0
2020-01-29,IT,Italy,EURO,0,0,2,2
2020-01-30,IT,Italy,EURO,0,0,0,2
2020-01-31,IT,Italy,EURO,0,0,0,2
2020-02-01,IT,Italy,EURO,0,0,0,2
2020-02-02,IT,Italy,EURO,0,0,0,2
2020-02-03,IT,Italy,EURO,0,0,0,2
2020-02-04,IT,Italy,EURO,0,0,0,2
2020-02-05,IT,Italy,EURO,0,0,0,2
2020-02-06,IT,Italy,EURO,0,0,0,2
2020-02-07,IT,Italy,EURO,0,0,1,3
2020-02-08,IT,Italy,EURO,0,0,0,3
2020-02-09,IT,Italy,EURO,0,0,0,3
2020-02-10,IT,Italy,EURO,0,0,0,3
2020-02-11,IT,Italy,EURO,0,0,0,3
2020-02-12,IT,Italy,EURO,0,0,0,3
2020-02-13,IT,Italy,EURO,0,0,0,3
2020-02-14,IT,Italy,EURO,0,0,0,3
2020-02-15,IT,Italy,EURO,0,0,0,3
2020-02-16,IT,Italy,EURO,0,0,0,3
2020-02-17,IT,Italy,EURO,0,0,0,3
2020-02-18,IT,Italy,EURO,0,0,0,3
2020-02-19,IT,Italy,EURO,0,0,0,3
2020-02-20,IT,Italy,EURO,0,0,0,3
2020-02-21,IT,Italy,EURO,0,0,1,4
2020-02-22,IT,Italy,EURO,2,2,7,11
2020-02-23,IT,Italy,EURO,0,2,113,124
2020-02-24,IT,Italy,EURO,5,7,105,229
2020-02-25,IT,Italy,EURO,5,12,93,322
2020-02-26,IT,Italy,EURO,0,12,78,400
2020-02-27,IT,Italy,EURO,5,17,250,650
2020-02-28,IT,Italy,EURO,4,21,238,888
2020-02-29,IT,Italy,EURO,8,29,240,1128
2020-03-01,IT,Italy,EURO,6,35,561,1689
2020-03-02,IT,Italy,EURO,17,52,347,2036
2020-03-03,IT,Italy,EURO,28,80,466,2502
2020-03-04,IT,Italy,EURO,27,107,587,3089
2020-03-05,IT,Italy,EURO,41,148,769,3858
2020-03-06,IT,Italy,EURO,49,197,778,4636
2020-03-07,IT,Italy,EURO,37,234,1247,5883
2020-03-08,IT,Italy,EURO,132,366,1492,7375
2020-03-09,IT,Italy,EURO,97,463,1797,9172
2020-03-10,IT,Italy,EURO,168,631,977,10149
2020-03-11,IT,Italy,EURO,196,827,2313,12462
2020-03-12,IT,Italy,EURO,189,1016,2651,15113
2020-03-13,IT,Italy,EURO,252,1268,2547,17660
2020-03-14,IT,Italy,EURO,173,1441,3497,21157
2020-03-15,IT,Italy,EURO,368,1809,3590,24747
2020-03-16,IT,Italy,EURO,349,2158,3233,27980
2020-03-17,IT,Italy,EURO,347,2505,3526,31506
2020-03-18,IT,Italy,EURO,473,2978,4207,35713
2020-03-19,IT,Italy,EURO,429,3407,5322,41035
2020-03-20,IT,Italy,EURO,625,4032,5986,47021
2020-03-21,IT,Italy,EURO,795,4827,6557,53578
2020-03-22,IT,Italy,EURO,0,4827,0,53578
2020-03-23,IT,Italy,EURO,649,5476,5560,59138
2020-03-24,IT,Italy,EURO,601,6077,4789,63927
2020-03-25,IT,Italy,EURO,743,6820,5249,69176
2020-03-26,IT,Italy,EURO,685,7505,5210,74386
2020-03-27,IT,Italy,EURO,660,8165,6153,80539
2020-03-28,IT,Italy,EURO,971,9136,5959,86498
2020-03-29,IT,Italy,EURO,887,10023,5974,92472
2020-03-30,IT,Italy,EURO,758,10781,5217,97689
2020-03-31,IT,Italy,EURO,810,11591,4050,101739
2020-04-01,IT,Italy,EURO,839,12430,4053,105792
2020-04-02,IT,Italy,EURO,727,13157,4782,110574
2020-04-03,IT,Italy,EURO,760,13917,4668,115242
2020-04-04,IT,Italy,EURO,764,14681,4585,119827
2020-04-05,IT,Italy,EURO,681,15362,4805,124632
2020-04-06,IT,Italy,EURO,527,15889,4316,128948
2020-04-07,IT,Italy,EURO,636,16525,3599,132547
2020-04-08,IT,Italy,EURO,604,17129,3039,135586
2020-04-09,IT,Italy,EURO,540,17669,3836,139422
2020-04-10,IT,Italy,EURO,612,18281,4204,143626
2020-04-11,IT,Italy,EURO,570,18851,3951,147577
2020-04-12,IT,Italy,EURO,619,19470,4694,152271
2020-04-13,IT,Italy,EURO,431,19901,4092,156363
2020-04-14,IT,Italy,EURO,564,20465,3153,159516
2020-04-15,IT,Italy,EURO,604,21069,2972,162488
2020-04-16,IT,Italy,EURO,578,21647,2667,165155
2020-04-17,IT,Italy,EURO,525,22172,3786,168941
2020-04-18,IT,Italy,EURO,575,22747,3493,172434
2020-04-19,IT,Italy,EURO,480,23227,3491,175925
2020-04-20,IT,Italy,EURO,433,23660,3047,178972
2020-04-21,IT,Italy,EURO,454,24114,2256,181228
2020-04-22,IT,Italy,EURO,534,24648,2729,183957
2020-04-23,IT,Italy,EURO,437,25085,3370,187327
2020-04-24,IT,Italy,EURO,464,25549,2646,189973
2020-04-25,IT,Italy,EURO,420,25969,3021,192994
2020-04-26,IT,Italy,EURO,415,26384,2357,195351
2020-04-27,IT,Italy,EURO,260,26644,2324,197675
2020-04-28,IT,Italy,EURO,333,26977,1739,199414
2020-04-29,IT,Italy,EURO,382,27359,2091,201505
2020-04-30,IT,Italy,EURO,323,27682,2086,203591
2020-05-01,IT,Italy,EURO,285,27967,1872,205463
2020-05-02,IT,Italy,EURO,269,28236,1965,207428
2020-05-03,IT,Italy,EURO,474,28710,1900,209328
2020-05-04,IT,Italy,EURO,174,28884,1389,210717
2020-05-05,IT,Italy,EURO,195,29079,1221,211938
2020-05-06,IT,Italy,EURO,236,29315,1075,213013
2020-05-07,IT,Italy,EURO,369,29684,1444,214457
2020-05-08,IT,Italy,EURO,274,29958,1401,215858
2020-05-09,IT,Italy,EURO,243,30201,1327,217185
2020-05-10,IT,Italy,EURO,194,30395,1083,218268
2020-05-11,IT,Italy,EURO,165,30560,802,219070
2020-05-12,IT,Italy,EURO,179,30739,744,219814
2020-05-13,IT,Italy,EURO,172,30911,1402,221216
2020-05-14,IT,Italy,EURO,195,31106,888,222104
2020-05-15,IT,Italy,EURO,0,31106,0,222104